TOP.6441c041.000d66c4	user_options->brain_client_features	2
TOP.6441c041.000d66c4	user_options->brain_server	0
TOP.6441c041.000d66c4	user_options->brain_server_timer	300
TOP.6441c041.000d66c4	user_options->brain_port	6863
TOP.6441c041.000d66c4	user_options->brain_session	0
TOP.6441c041.000d66c4	hashes->hashfile	./hashes.txt
TOP.6441c041.000d66c4	hashes->hashlist_mode	5
TOP.6441c041.000d66c4	hashes->hashlist_format	0
TOP.6441c041.000d66c4	hashes->hashes_cnt	0
TOP.6441c041.000d66c4	hashes->digests_cnt	1
TOP.6441c041.000d66c4	hashes->digests_done_pot	0
TOP.6441c041.000d66c4	hashes->digests_done_zero	0
TOP.6441c041.000d66c4	hashes->digests_done	0
TOP.6441c041.000d66c4	hashes->salts_cnt	1
TOP.6441c041.000d66c4	hashes->salts_done	0
TOP.6441c041.000d66c4	SUB.6441c046.0005f2c8	START
TOP.6441c041.000d66c4	SUB.6441c046.0005f2c8	straight_ctx->dict	./buny/rockyou.txt
TOP.6441c041.000d66c4	SUB.6441c046.0005f2c8	rulefile	./buny/d3adhob0.rule
TOP.6441c041.000d66c4	SUB.6441c046.0005f2c8	runtime_start	1682030663
TOP.6441c041.000d66c4	SUB.6441c046.0005f2c8	runtime_stop	1682031065
TOP.6441c041.000d66c4	SUB.6441c046.0005f2c8	hashes->digests_done_new	0
TOP.6441c041.000d66c4	SUB.6441c046.0005f2c8	status-after-work	8
TOP.6441c041.000d66c4	SUB.6441c046.0005f2c8	STOP
TOP.6441c041.000d66c4	proc_start	1682030657
TOP.6441c041.000d66c4	proc_stop	1682031066
TOP.6441c041.000d66c4	STOP
TOP.6441c322.0008899c	START
TOP.6441c322.0008899c	folder_config->cwd	/home
TOP.6441c322.0008899c	folder_config->install_dir	/usr/bin
TOP.6441c322.0008899c	folder_config->profile_dir	/root/.local/share/hashcat
TOP.6441c322.0008899c	folder_config->session_dir	/root/.local/share/hashcat/sessions
TOP.6441c322.0008899c	folder_config->shared_dir	/usr/share/hashcat
TOP.6441c322.0008899c	user_options->encoding_from	utf-8
TOP.6441c322.0008899c	user_options->encoding_to	utf-8
TOP.6441c322.0008899c	user_options->rp_files[0]	./buny/hob064.rule
TOP.6441c322.0008899c	user_options->rule_buf_l	:
TOP.6441c322.0008899c	user_options->rule_buf_r	:
TOP.6441c322.0008899c	user_options->session	hashcat
TOP.6441c322.0008899c	user_options->separator	:
TOP.6441c322.0008899c	user_options->limit	0
TOP.6441c322.0008899c	user_options->skip	0
TOP.6441c322.0008899c	user_options->attack_mode	0
TOP.6441c322.0008899c	user_options->benchmark	0
TOP.6441c322.0008899c	user_options->benchmark_all	0
TOP.6441c322.0008899c	user_options->bitmap_max	18
TOP.6441c322.0008899c	user_options->bitmap_min	16
TOP.6441c322.0008899c	user_options->debug_mode	0
TOP.6441c322.0008899c	user_options->hash_info	0
TOP.6441c322.0008899c	user_options->force	0
TOP.6441c322.0008899c	user_options->hwmon_disable	0
TOP.6441c322.0008899c	user_options->hwmon_temp_abort	90
TOP.6441c322.0008899c	user_options->hash_mode	11300
TOP.6441c322.0008899c	user_options->hex_charset	0
TOP.6441c322.0008899c	user_options->hex_salt	0
TOP.6441c322.0008899c	user_options->hex_wordlist	0
TOP.6441c322.0008899c	user_options->hook_threads	50
TOP.6441c322.0008899c	user_options->identify	0
TOP.6441c322.0008899c	user_options->increment	0
TOP.6441c322.0008899c	user_options->increment_max	256
TOP.6441c322.0008899c	user_options->increment_min	1
TOP.6441c322.0008899c	user_options->keep_guessing	0
TOP.6441c322.0008899c	user_options->kernel_accel	0
TOP.6441c322.0008899c	user_options->kernel_loops	0
TOP.6441c322.0008899c	user_options->kernel_threads	0
TOP.6441c322.0008899c	user_options->keyspace	0
TOP.6441c322.0008899c	user_options->left	0
TOP.6441c322.0008899c	user_options->logfile_disable	0
TOP.6441c322.0008899c	user_options->loopback	0
